Abandon Hope,Black,Sorcery,{X}{1}{B},"As an additional cost to cast Abandon Hope, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.",,,0,0,1,1,http://mtgimage.com/card/abandon hope.jpg
Abattoir Ghoul,Black,Creature  Zombie,{3}{B},"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.",3,2,1,0,1,1,http://mtgimage.com/card/abattoir ghoul.jpg
Abhorrent Overlord,Black,Creature  Demon,{5}{B}{B},"Flying
When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature.",6,6,1,1,1,1,http://mtgimage.com/card/abhorrent overlord.jpg
Abomination,Black,Creature  Horror,{3}{B}{B},"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.",2,6,0,0,1,1,http://mtgimage.com/card/abomination.jpg
Absorb Vis,Black,Sorcery,{6}{B},"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)",,,1,0,1,1,http://mtgimage.com/card/absorb vis.jpg
Abyssal Gatekeeper,Black,Creature  Horror,{1}{B},"When Abyssal Gatekeeper dies, each player sacrifices a creature.",1,1,0,0,1,1,http://mtgimage.com/card/abyssal gatekeeper.jpg
Abyssal Horror,Black,Creature  Horror,{4}{B}{B},"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.",2,2,0,0,1,1,http://mtgimage.com/card/abyssal horror.jpg
Abyssal Hunter,Black,Creature  Human Assassin,{3}{B},"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",1,1,0,0,1,1,http://mtgimage.com/card/abyssal hunter.jpg
Abyssal Nightstalker,Black,Creature  Nightstalker,{3}{B},"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.",2,2,0,0,1,1,http://mtgimage.com/card/abyssal nightstalker.jpg
Abyssal Nocturnus,Black,Creature  Horror,{1}{B}{B},"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",2,2,1,0,1,1,http://mtgimage.com/card/abyssal nocturnus.jpg
Abyssal Persecutor,Black,Creature  Demon,{2}{B}{B},"Flying, trample
You can't win the game and your opponents can't lose the game.",6,6,1,0,1,1,http://mtgimage.com/card/abyssal persecutor.jpg
Abyssal Specter,Black,Creature  Specter,{2}{B}{B},"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.",2,3,1,0,1,1,http://mtgimage.com/card/abyssal specter.jpg
Accursed Centaur,Black,Creature  Zombie Centaur,{B},"When Accursed Centaur enters the battlefield, sacrifice a creature.",2,2,0,0,1,1,http://mtgimage.com/card/accursed centaur.jpg
Accursed Spirit,Black,Creature  Spirit,{3}{B},Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),3,2,1,1,1,1,http://mtgimage.com/card/accursed spirit.jpg
Acolyte of Xathrid,Black,Creature  Human Cleric,{B},"{1}{B}, {T}: Target player loses 1 life.",0,1,1,0,1,1,http://mtgimage.com/card/acolyte of xathrid.jpg
Ad Nauseam,Black,Instant,{3}{B}{B},Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.,,,1,0,1,1,http://mtgimage.com/card/ad nauseam.jpg
Addle,Black,Sorcery,{1}{B},Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.,,,0,0,1,1,http://mtgimage.com/card/addle.jpg
Aesthetic Consultation,Black,Instant,{B},"Name an artist. Remove the top six cards of your library from the game, then reveal cards from the top of your library until you reveal a card by the named artist. Put that card in your hand, then remove all the other cards revealed this way from the game.",,,0,0,0,0,http://mtgimage.com/card/aesthetic consultation.jpg
Afflict,Black,Instant,{2}{B},"Target creature gets -1/-1 until end of turn.
Draw a card.",,,1,0,1,1,http://mtgimage.com/card/afflict.jpg
Agadeem Occultist,Black,Creature  Human Shaman Ally,{2}{B},{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.,0,2,1,0,1,1,http://mtgimage.com/card/agadeem occultist.jpg
Agent of Erebos,Black,Enchantment Creature  Zombie,{3}{B},"Constellation  Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.",2,2,1,1,1,1,http://mtgimage.com/card/agent of erebos.jpg
Agent of Shauku,Black,Creature  Human Mercenary,{1}{B},"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.",1,1,0,0,1,1,http://mtgimage.com/card/agent of shauku.jpg
Agent of the Fates,Black,Creature  Human Assassin,{1}{B}{B},"Deathtouch
Heroic  Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.",3,2,1,1,1,1,http://mtgimage.com/card/agent of the fates.jpg
Agonizing Demise,Black,Instant,{3}{B},"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Destroy target nonblack creature. It can't be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creature's power to the creature's controller.",,,0,0,1,1,http://mtgimage.com/card/agonizing demise.jpg
Agonizing Memories,Black,Sorcery,{2}{B}{B},Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,,,1,0,1,1,http://mtgimage.com/card/agonizing memories.jpg
Aku Djinn,Black,Creature  Djinn,{3}{B}{B},"Trample
At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.",5,6,0,0,1,1,http://mtgimage.com/card/aku djinn.jpg
"Akuta, Born of Ash",Black,Legendary Creature  Spirit,{2}{B}{B},"Haste
At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta, Born of Ash from your graveyard to the battlefield.",3,2,1,0,1,1,"http://mtgimage.com/card/akuta, born of ash.jpg"
Alesha's Vanguard,Black,Creature  Orc Warrior,{3}{B},"Dash {2}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",3,3,1,1,1,1,http://mtgimage.com/card/alesha's vanguard.jpg
All Hallow's Eve,Black,Sorcery,{2}{B}{B},"Exile All Hallow's Eve with two scream counters on it.
At the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.",,,0,0,1,1,http://mtgimage.com/card/all hallow's eve.jpg
Alley Grifters,Black,Creature  Human Mercenary,{1}{B}{B},"Whenever Alley Grifters becomes blocked, defending player discards a card.",2,2,0,0,1,1,http://mtgimage.com/card/alley grifters.jpg
Altar's Reap,Black,Instant,{1}{B},"As an additional cost to cast Altar's Reap, sacrifice a creature.
Draw two cards.",,,1,0,1,1,http://mtgimage.com/card/altar's reap.jpg
Ambition's Cost,Black,Sorcery,{3}{B},You draw three cards and you lose 3 life.,,,1,0,1,1,http://mtgimage.com/card/ambition's cost.jpg
Ancestral Vengeance,Black,Enchantment  Aura,{B}{B},"Enchant creature
When Ancestral Vengeance enters the battlefield, put a +1/+1 counter on target creature you control.
Enchanted creature gets -1/-1.",,,1,1,1,1,http://mtgimage.com/card/ancestral vengeance.jpg
Ancient Craving,Black,Sorcery,{3}{B},You draw three cards and you lose 3 life.,,,0,0,1,1,http://mtgimage.com/card/ancient craving.jpg
Andradite Leech,Black,Creature  Leech,{2}{B},"Black spells you cast cost {B} more to cast.
{B}: Andradite Leech gets +1/+1 until end of turn.",2,2,0,0,1,1,http://mtgimage.com/card/andradite leech.jpg
